assex,assey
10.757914,0
10.757869,0
10.757823,0
10.757777,0
10.757732,0
10.757686,0
10.75764,0
10.757595,0
10.757549,0
10.757503,0
10.757458,0
10.757412,0
10.757366,0
10.757321,0
10.757275,0
10.757229,0
10.757184,0
10.757138,0
10.757092,0
10.757047,0
10.757001,0
10.756955,0
10.75691,0
10.756864,0
10.756818,0
10.756773,0
10.756727,0
10.756681,0
10.756636,0
10.75659,0
10.756544,0
10.756499,0
10.756453,0
10.756407,0
10.756362,0
10.756316,0
10.75627,0
10.756225,0
10.756179,0
10.756133,0
10.756088,0
10.756042,0
10.755996,0
10.755951,0
10.755905,0
10.755859,0
10.755814,0
10.755768,0
10.755722,0
10.755677,0
10.755631,0
10.755585,0
10.75554,0
10.755494,0
10.755448,0
10.755403,0
10.755357,0
10.755311,0
10.755266,0
10.75522,0
10.755174,0
10.755129,0
10.755083,0
10.755037,0
10.754992,0
10.754946,0
10.7549,0
10.754855,0
10.754809,0
10.754763,0
10.754718,0
10.754672,0
10.754626,0
10.754581,0
10.754535,0
10.754489,0
10.754444,0
10.754398,0
10.754352,0
10.754307,0
10.754261,0
10.754215,0
10.75417,0
10.754124,0
10.754078,0
10.754033,0
10.753987,0
10.753941,0
10.753896,0
10.75385,0
10.753804,0
10.753759,0
10.753713,0
10.753667,0
10.753622,0
10.753576,0
10.753531,0
10.753485,0
10.753439,0
10.753394,0
10.753348,0
10.753302,0
10.753257,0
10.753211,0
10.753165,0
10.75312,0
10.753074,0
10.753028,0
10.752983,0
10.752937,0
10.752891,0
10.752846,0
10.7528,0
10.752754,0
10.752709,0
10.752663,0
10.752617,0
10.752572,0
10.752526,0
10.75248,0
10.752435,0
10.752389,0
10.752343,0
10.752298,0
10.752252,0
10.752206,0
10.752161,0
10.752115,0
10.752069,0
10.752024,0
10.751978,0
10.751932,0
10.751887,0
10.751841,0
10.751795,0
10.75175,0
10.751704,0
10.751658,0
10.751613,0
10.751567,0
10.751521,0
10.751476,0
10.75143,0
10.751384,0
10.751339,0
10.751293,0
10.751247,0
10.751202,0
10.751156,0
10.75111,0
10.751065,0
10.751019,0
10.750973,0
10.750928,0
10.750882,0
10.750836,0
10.750791,0
10.750745,0
10.750699,0
10.750654,0
10.750608,0
10.750562,0
10.750517,0
10.750471,0
10.750425,0
10.75038,0
10.750334,0
10.750288,0
10.750243,0
10.750197,0
10.750151,0
10.750106,0
10.75006,0
10.750014,0
10.749969,0
10.749923,0
10.749877,0
10.749832,0
10.749786,0
10.74974,0
10.749695,0
10.749649,0
10.749603,0
10.749558,0
10.749512,0
10.749466,0
10.749421,0
10.749375,0
10.749329,0
10.749284,0
10.749238,0
10.749192,0
10.749147,0
10.749101,0
10.749055,0
10.74901,0
10.748964,0
10.748918,0
10.748873,0
10.748827,0
10.748781,0
10.748736,0
10.74869,0
10.748644,0
10.748599,0
10.748553,0
10.748507,0
10.748462,0
10.748416,0
10.74837,0
10.748325,0
10.748279,0
10.748233,0
10.748188,0
10.748142,0
10.748096,0
10.748051,0
10.748005,0
10.747959,0
10.747914,0
10.747868,0
10.747822,0
10.747777,0
10.747731,0
10.747685,0
10.74764,0
10.747594,0
10.747548,0
10.747503,0
10.747457,0
10.747412,0
10.747366,0
10.74732,0
10.747275,0
10.747229,0
10.747183,0
10.747138,0
10.747092,0
10.747046,0
10.747001,0
10.746955,0
10.746909,0
10.746864,0
10.746818,0
10.746772,0
10.746727,0
10.746681,0
10.746635,0
10.74659,0
10.746544,0
10.746498,0
10.746453,0
10.746407,0
10.746361,0
10.746316,0
10.74627,0
10.746224,0
10.746179,0
10.746133,0
10.746087,0
10.746042,0
10.745996,0
10.74595,0
10.745905,0
10.745859,0
10.745813,0
10.745768,0
10.745722,0
10.745676,0
10.745631,0
10.745585,0
10.745539,0
10.745494,0
10.745448,0
10.745402,0
10.745357,0
10.745311,0
10.745265,0
10.74522,0
10.745174,0
10.745128,0
10.745083,0
10.745037,0
10.744991,0
10.744946,0
10.7449,0
10.744854,0
10.744809,0
10.744763,0
10.744717,0
10.744672,0
10.744626,0
10.74458,0
10.744535,0
10.744489,0
10.744443,0
10.744398,0
10.744352,0
10.744306,0
10.744261,0
10.744215,0
10.744169,0
10.744124,0
10.744078,0
10.744032,0
10.743987,0
10.743941,0
10.743895,0
10.74385,0
10.743804,0
10.743758,0
10.743713,0
10.743667,0
10.743621,0
10.743576,0
10.74353,0
10.743484,0
10.743439,0
10.743393,0
10.743347,0
10.743302,0
10.743256,0
10.74321,0
10.743165,0
10.743119,0
10.743073,0
10.743028,0
10.742982,0
10.742936,0
10.742891,0
10.742845,0
10.742799,0
10.742754,0
10.742708,0
10.742662,0
10.742617,0
10.742571,0
10.742525,0
10.74248,0
10.742434,0
10.742388,0
10.742343,0
10.742297,0
10.742251,0
10.742206,0
10.74216,0
10.742114,0
10.742069,0
10.742023,0
10.741977,0
10.741932,0
10.741886,0
10.74184,0
10.741795,0
10.741749,0
10.741703,0
10.741658,0
10.741612,0
10.741566,0
10.741521,0
10.741475,0
10.741429,0
10.741384,0
10.741338,0
10.741293,0
10.741247,0
10.741201,0
10.741156,0
10.74111,0
10.741064,0
10.741019,0
10.740973,0
10.740927,0
10.740882,0
10.740836,0
10.74079,0
10.740745,0
10.740699,0
10.740653,0
10.740608,0
10.740562,0
10.740516,0
10.740471,0
10.740425,0
10.740379,0
10.740334,0
10.740288,0
10.740242,0
10.740197,0
10.740151,0
10.740105,0
10.74006,0
10.740014,0
10.739968,0
10.739923,0
10.739877,0
10.739831,0
10.739786,0
10.73974,0
10.739694,0
10.739649,0
10.739603,0
10.739557,0
10.739512,0
10.739466,0
10.73942,0
10.739375,0
10.739329,0
10.739283,0
10.739238,0
10.739192,0
10.739146,0
10.739101,0
10.739055,0
10.739009,0
10.738964,0
10.738918,0
10.738872,0
10.738827,0
10.738781,0
10.738735,0
10.73869,0
10.738644,0
10.738598,0
10.738553,0
10.738507,0
10.738461,0
10.738416,0
10.73837,0
10.738324,0
10.738279,0
10.738233,0
10.738187,0
10.738142,0
10.738096,0
10.73805,0
10.738005,0
10.737959,0
10.737913,0
10.737868,0
10.737822,0
10.737776,0
10.737731,0
10.737685,0
10.737639,0
10.737594,0
10.737548,0
10.737502,0
10.737457,0
10.737411,0
10.737365,0
10.73732,0
10.737274,0
10.737228,0
10.737183,0
10.737137,0
10.737091,0
10.737046,0
10.737,0
10.736954,0
10.736909,0
10.736863,0
10.736817,0
10.736772,0
10.736726,0
10.73668,0
10.736635,0
10.736589,0
10.736543,0
10.736498,0
10.736452,0
10.736406,0
10.736361,0
10.736315,0
10.736269,0
10.736224,0
10.736178,0
10.736132,0
10.736087,0
10.736041,0
10.735995,0
10.73595,0
10.735904,0
10.735858,0
10.735813,0
10.735767,0
10.735721,0
10.735676,0
10.73563,0
10.735584,0
10.735539,0
10.735493,0
10.735447,0
10.735402,0
10.735356,0
10.735311,0
10.735265,0
10.735219,0
10.735174,0
10.735128,0
10.735082,0
10.735037,0
10.734991,0
10.734945,0
10.7349,0
10.734854,0
10.734808,0
10.734763,0
10.734717,0
10.734671,0
10.734626,0
10.73458,0
10.734534,0
10.734489,0
10.734443,0
10.734397,0
10.734352,0
10.734306,0
10.73426,0
10.734215,0
10.734169,0
10.734123,0
10.734078,0
10.734032,0
10.733986,0
10.733941,0
10.733895,0
10.733849,0
10.733804,0
10.733758,0
10.733712,0
10.733667,0
10.733621,0
10.733575,0
10.73353,0
10.733484,0
10.733438,0
10.733393,0
10.733347,0
10.733301,0
10.733256,0
10.73321,0
10.733164,0
10.733119,0
10.733073,0
10.733027,0
10.732982,0
10.732936,0
10.73289,0
10.732845,0
10.732799,0
10.732753,0
10.732708,0
10.732662,0
10.732616,0
10.732571,0
10.732525,0
10.732479,0
10.732434,0
10.732388,0
10.732342,0
10.732297,0
10.732251,0
10.732205,0
10.73216,0
10.732114,0
10.732068,0
10.732023,0
10.731977,0
10.731931,0
10.731886,0
10.73184,0
10.731794,0
10.731749,0
10.731703,0
10.731657,0
10.731612,0
10.731566,0
10.73152,0
10.731475,0
10.731429,0
10.731383,0
10.731338,0
10.731292,0
10.731246,0
10.731201,0
10.731155,0
10.731109,0
10.731064,0
10.731018,0
10.730972,0
10.730927,0
10.730881,0
10.730835,0
10.73079,0
10.730744,0
10.730698,0
10.730653,0
10.730607,0
10.730561,0
10.730516,0
10.73047,0
10.730424,0
10.730379,0
10.730333,0
10.730287,0
10.730242,0
10.730196,0
10.73015,0
10.730105,0
10.730059,0
10.730013,0
10.729968,0
10.729922,0
10.729876,0
10.729831,0
10.729785,0
10.729739,0
10.729694,0
10.729648,0
10.729602,0
10.729557,0
10.729511,0
10.729465,0
10.72942,0
10.729374,0
10.729328,0
10.729283,0
10.729237,0
10.729192,0
10.729146,0
10.7291,0
10.729055,0
10.729009,0
10.728963,0
10.728918,0
10.728872,0
10.728826,0
10.728781,0
10.728735,0
10.728689,0
10.728644,0
10.728598,0
10.728552,0
10.728507,0
10.728461,0
10.728415,0
10.72837,0
10.728324,0
10.728278,0
10.728233,0
10.728187,0
10.728141,0
10.728096,0
10.72805,0
10.728004,0
10.727959,0
10.727913,0
10.727867,0
10.727822,0
10.727776,0
10.72773,0
10.727685,0
10.727639,0
10.727593,0
10.727548,0
10.727502,0
10.727456,0
10.727411,0
10.727365,0
10.727319,0
10.727274,0
10.727228,0
10.727182,0
10.727137,0
10.727091,0
10.727045,0
10.727,0
10.726954,0
10.726908,0
10.726863,0
10.726817,0
10.726771,0
10.726726,0
10.72668,0
10.726634,0
10.726589,0
10.726543,0
10.726497,0
10.726452,0
10.726406,0
10.72636,0
10.726315,0
10.726269,0
10.726223,0
10.726178,0
10.726132,0
10.726086,0
10.726041,0
10.725995,0
10.725949,0
10.725904,0
10.725858,0
10.725812,0
10.725767,0
10.725721,0
10.725675,0
10.72563,0
10.725584,0
10.725538,0
10.725493,0
10.725447,0
10.725401,0
10.725356,0
10.72531,0
10.725264,0
10.725219,0
10.725173,0
10.725127,0
10.725082,0
10.725036,0
10.72499,0
10.724945,0
10.724899,0
10.724853,0
10.724808,0
10.724762,0
10.724716,0
10.724671,0
10.724625,0
10.724579,0
10.724534,0
10.724488,0
10.724442,0
10.724397,0
10.724351,0
10.724305,0
10.72426,0
10.724214,0
10.724168,0
10.724123,0
10.724077,0
10.724031,0
10.723986,0
10.72394,0
10.723894,0
10.723849,0
10.723803,0
10.723757,0
10.723712,0
10.723666,0
10.72362,0
10.723575,0
10.723529,0
10.723483,0
10.723438,0
10.723392,0
10.723346,0
10.723301,0
10.723255,0
10.723209,0
10.723164,0
10.723118,0
10.723073,0
10.723027,0
10.722981,0
10.722936,0
10.72289,0
10.722844,0
10.722799,0
10.722753,0
10.722707,0
10.722662,0
10.722616,0
10.72257,0
10.722525,0
10.722479,0
10.722433,0
10.722388,0
10.722342,0
10.722296,0
10.722251,0
10.722205,0
10.722159,0
10.722114,0
10.722068,0
10.722022,0
10.721977,0
10.721931,0
10.721885,0
10.72184,0
10.721794,0
10.721748,0
10.721703,0
10.721657,0
10.721611,0
10.721566,0
10.72152,0
10.721474,0
10.721429,0
10.721383,0
10.721337,0
10.721292,0
10.721246,0
10.7212,0
10.721155,0
10.721109,0
10.721063,0
10.721018,0
10.720972,0
10.720926,0
10.720881,0
10.720835,0
10.720789,0
10.720744,0
10.720698,0
10.720652,0
10.720607,0
10.720561,0
10.720515,0
10.72047,0
10.720424,0
10.720378,0
10.720333,0
10.720287,0
10.720241,0
10.720196,0
10.72015,0
10.720104,0
10.720059,0
10.720013,0
10.719967,0
10.719922,0
10.719876,0
10.71983,0
10.719785,0
10.719739,0
10.719693,0
10.719648,0
10.719602,0
10.719556,0
10.719511,0
10.719465,0
10.719419,0
10.719374,0
10.719328,0
10.719282,0
10.719237,0
10.719191,0
10.719145,0
10.7191,0
10.719054,0
10.719008,0
10.718963,0
10.718917,0
10.718871,0
10.718826,0
10.71878,0
10.718734,0
10.718689,0
10.718643,0
10.718597,0
10.718552,0
10.718506,0
10.71846,0
10.718415,0
10.718369,0
10.718323,0
10.718278,0
10.718232,0
10.718186,0
10.718141,0
10.718095,0
10.718049,0
10.718004,0
10.717958,0
10.717912,0
10.717867,0
10.717821,0
10.717775,0
10.71773,0
10.717684,0
10.717638,0
10.717593,0
10.717547,0
10.717501,0
10.717456,0
10.71741,0
10.717364,0
10.717319,0
10.717273,0
10.717227,0
10.717182,0
10.717136,0
10.71709,0
10.717045,0
10.716999,0
10.716954,0
10.716908,0
10.716862,0
10.716817,0
10.716771,0
10.716725,0
10.71668,0
10.716634,0
10.716588,0
10.716543,0
10.716497,0
10.716451,0
10.716406,0
10.71636,0
10.716314,0
10.716269,0
10.716223,0
10.716177,0
10.716132,0
10.716086,0
10.71604,0
10.715995,0
10.715949,0
10.715903,0
10.715858,0
10.715812,0
10.715766,0
10.715721,0
10.715675,0
10.715629,0
10.715584,0
10.715538,0
10.715492,0
10.715447,0
10.715401,0
10.715355,0
10.71531,0
10.715264,0
10.715218,0
10.715173,0
10.715127,0
10.715081,0
10.715036,0
10.71499,0
10.714944,0
10.714899,0
10.714853,0
10.714807,0
10.714762,0
10.714716,0
10.71467,0
10.714625,0
10.714579,0
10.714533,0
10.714488,0
10.714442,0
10.714396,0
10.714351,0
10.714305,0
10.714259,0
10.714214,0
10.714168,0
10.714122,0
10.714077,0
10.714031,0
10.713985,0
10.71394,0
10.713894,0
10.713848,0
10.713803,0
10.713757,0
10.713711,0
10.713666,0
10.71362,0
10.713574,0
10.713529,0
10.713483,0
10.713437,0
10.713392,0
10.713346,0
10.7133,0
10.713255,0
10.713209,0
10.713163,0
10.713118,0
10.713072,0
10.713026,0
10.712981,0
10.712935,0
10.712889,0
10.712844,0
10.712798,0
10.712752,0
10.712707,0
10.712661,0
10.712615,0
10.71257,0
10.712524,0
10.712478,0
10.712433,0
10.712387,0
10.712341,0
10.712296,0
10.71225,0
10.712204,0
10.712159,0
10.712113,0
10.712067,0
10.712022,0
10.711976,0
10.71193,0
10.711885,0
10.711839,0
10.711793,0
10.711748,0
10.711702,0
10.711656,0
10.711611,0
10.711565,0
10.711519,0
10.711474,0
10.711428,0
10.711382,0
10.711337,0
10.711291,0
10.711245,0
10.7112,0
10.711154,0
10.711108,0
10.711063,0
10.711017,0
10.710971,0
10.710926,0
10.71088,0
10.710835,0
10.710789,0
10.710743,0
10.710698,0
10.710652,0
10.710606,0
10.710561,0
10.710515,0
10.710469,0
10.710424,0
10.710378,0
10.710332,0
10.710287,0
10.710241,0
10.710195,0
10.71015,0
10.710104,0
10.710058,0
10.710013,0
10.709967,0
10.709921,0
10.709876,0
10.70983,0
10.709784,0
10.709739,0
10.709693,0
10.709647,0
10.709602,0
10.709556,0
10.70951,0
10.709465,0
10.709419,0
10.709373,0
10.709328,0
10.709282,0
10.709236,0
10.709191,0
10.709145,0
10.709099,0
10.709054,0
10.709008,0
10.708962,0
10.708917,0
10.708871,0
10.708825,0
10.70878,0
10.708734,0
10.708688,0
10.708643,0
10.708597,0
10.708551,0
10.708506,0
10.70846,0
10.708414,0
10.708369,0
10.708323,0
10.708277,0
10.708232,0
10.708186,0
10.70814,0
10.708095,0
10.708049,0
10.708003,0
10.707958,0
10.707912,0
10.707866,0
10.707821,0
10.707775,0
10.707729,0
10.707684,0
10.707638,0
10.707592,0
10.707547,0
10.707501,0
10.707455,0
10.70741,0
10.707364,0
10.707318,0
10.707273,0
10.707227,0
10.707181,0
10.707136,0
10.70709,0
10.707044,0
10.706999,0
10.706953,0
10.706907,0
10.706862,0
10.706816,0
10.70677,0
10.706725,0
10.706679,0
10.706633,0
10.706588,0
10.706542,0
10.706496,0
10.706451,0
10.706405,0
10.706359,0
